date,position,strategy_ret,strategy_nav
2022-03-30,0.0,-0.0,1.1478630374798966
2022-03-31,0.0,0.0,1.1478630374798966
2022-04-01,0.0,-0.0,1.1478630374798966
2022-04-06,1.0,0.0,1.1478630374798966
2022-04-07,1.0,-0.0001,1.1477482511761485
2022-04-08,1.0,-0.041648007165248524,1.099946823787263
2022-04-11,1.0,0.01728971962616832,1.1189645959742391
2022-04-12,1.0,-0.04680753330271015,1.0665886233836213
2022-04-13,1.0,0.02462531926172229,1.0928537087553638
2022-04-14,1.0,0.039413037343617674,1.1359263927896501
2022-04-15,1.0,0.011221719457013668,1.1486734400933531
2022-04-18,1.0,0.030025058170753516,1.1831624269513557
2022-04-19,1.0,0.018593335939875777,1.205161363427101
2022-04-20,1.0,0.022689469868213408,1.2325058358689152
2022-04-21,1.0,-0.0202260311105551,1.2075771344886899
2022-04-22,1.0,0.004213841831957055,1.2126656735333132
2022-04-25,0.0,0.01725087949815629,1.233585222938987
2022-04-26,0.0,-0.08760000000000003,1.1255231574095317
2022-04-27,0.0,0.0,1.1255231574095317
2022-04-28,0.0,0.0,1.1255231574095317
2022-04-29,0.0,0.0,1.1255231574095317
2022-05-05,0.0,-0.0,1.1255231574095317
2022-05-06,0.0,-0.0,1.1255231574095317
2022-05-09,0.0,-0.0,1.1255231574095317
2022-05-10,0.0,-0.0,1.1255231574095317
2022-05-11,0.0,-0.0,1.1255231574095317
2022-05-12,0.0,0.0,1.1255231574095317
2022-05-13,0.0,-0.0,1.1255231574095317
2022-05-16,0.0,0.0,1.1255231574095317
2022-05-17,0.0,-0.0,1.1255231574095317
2022-05-18,0.0,0.0,1.1255231574095317
2022-05-19,0.0,-0.0,1.1255231574095317
2022-05-20,0.0,0.0,1.1255231574095317
2022-05-23,0.0,0.0,1.1255231574095317
2022-05-24,0.0,-0.0,1.1255231574095317
2022-05-25,0.0,-0.0,1.1255231574095317
2022-05-26,0.0,-0.0,1.1255231574095317
2022-05-27,0.0,0.0,1.1255231574095317
2022-05-30,0.0,0.0,1.1255231574095317
