portfolio,group,weight_method,strategy_mode,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
all_equal_weight,all,equal_weight,ensemble,close,open,open_to_open,0.03132597169079476,0.04889656498490366,0.6406579214811173,0.10275738417098501,0.3048537284548753,0.5152911604524508,1.064564166844668,1.3639865355564478
all_inverse_vol_120d,all,inverse_vol_120d,ensemble,close,open,open_to_open,0.035853240624383886,0.04496503274146465,0.7973582679352017,0.07968498852257022,0.44993720008165283,0.5213746856663872,1.0682793256888345,1.4254553118579887
nonferrous_equal_weight,nonferrous,equal_weight,ensemble,close,open,open_to_open,0.02745355989074838,0.06109797591612134,0.44933665115908483,0.147259936478344,0.18642925256718204,0.5228511530398323,1.0018107372152165,1.3133147399550298
nonferrous_inverse_vol_120d,nonferrous,inverse_vol_120d,ensemble,close,open,open_to_open,0.03298908914875209,0.05882770067842081,0.5607747501314998,0.1117623880520181,0.2951716559008906,0.5234899328859061,1.0212189579817361,1.3862843190563041
energy_chem_equal_weight,energy_chem,equal_weight,ensemble,close,open,open_to_open,0.00010045787831702846,0.06637099507764917,0.0015135810183273606,0.21118096832836586,0.0004756956988701095,0.5169811320754717,0.9406219077961088,1.0010114174232398
energy_chem_inverse_vol_120d,energy_chem,inverse_vol_120d,ensemble,close,open,open_to_open,0.0025679887966509884,0.060619020980122056,0.04236275603152801,0.1600282733108631,0.016047094326029118,0.5167785234899329,0.9481964403063423,1.0261457666229086
ferrous_equal_weight,ferrous,equal_weight,ensemble,close,open,open_to_open,0.05537748913944451,0.08411075243468843,0.6583877511076226,0.2049339544749771,0.2702211514012737,0.5130691399662732,1.0866021601387437,1.7201427011747807
ferrous_inverse_vol_120d,ferrous,inverse_vol_120d,ensemble,close,open,open_to_open,0.05407241510670069,0.08151547089396165,0.6633392963777403,0.19096601328962648,0.28315203409882345,0.513285533530156,1.087113597994529,1.6988560167111086
