date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2022-08-15,0.09634302811119393,0.07053849329243038,0.06358519727566149,0.07237570626328557,0.07349624252462474,0.13129489423689406,0.13349154825403883,0.06690361936370201,0.09233771048603753,0.12902245707074092,0.07061110312139057
2022-08-16,0.09627728365573372,0.07047578062250903,0.06352617308628696,0.07233604954878674,0.07361204408410443,0.13178355841696504,0.13341545931778048,0.06703320810716279,0.09227567762810494,0.12870183589478393,0.07056292963778185
2022-08-17,0.09613155850669775,0.07038647931053349,0.06363139274579499,0.07130419700092276,0.07365362112527521,0.13193535375761734,0.13350633157064434,0.06710612216669577,0.0922535163107547,0.12887912254080888,0.0712123049642547
2022-08-18,0.09631243785060238,0.07042338036350483,0.06283228955732294,0.07103059538846804,0.07375566870819067,0.1320583860330411,0.13371073250586668,0.06715434640570342,0.09240378605845782,0.12864931232773674,0.07166906480110542
2022-08-19,0.09646548225508157,0.07054982947849629,0.06272308580418483,0.07108472293333092,0.07392829046276654,0.13299967620911157,0.13394749034295245,0.06721175615494465,0.09259417613911794,0.12822200600529945,0.07027348421471362
2022-08-22,0.09641554893935468,0.07061870882009222,0.06262413460500135,0.07099251943181421,0.0738129746048206,0.13286758978886004,0.13386132261012912,0.06713746305816186,0.09252562711943306,0.1287036376277307,0.07044047339460219
2022-08-23,0.09613506858446853,0.0706752189297533,0.0624491799862233,0.07077532774953996,0.08106245597346108,0.13199299697476735,0.13348254141960805,0.06731781726025082,0.09222045646605023,0.12365795264181326,0.07023098401406398
2022-08-24,0.09573641507290957,0.07118615000813645,0.06208684478262681,0.06979776693241847,0.08030012627697482,0.13016415262284212,0.13273519974356293,0.06685631551664306,0.09163245901402656,0.12998330419515058,0.06952126583470865
2022-08-25,0.09577345678557714,0.07143537254333258,0.062178677805308294,0.06987517180548002,0.07845492688231086,0.130406666706914,0.13296848766138103,0.06697883161085477,0.09186072393109179,0.13019827623143893,0.06986940803631049
2022-08-26,0.09553293995590151,0.07140956187208318,0.06252052639929888,0.06969572129085044,0.07821323838969561,0.12967937840974747,0.13323806154870996,0.06707726670698223,0.09193326637843884,0.13032616807417582,0.07037387097411604
