date,RB,I,J,JM
2019-10-18,0.19863221909436526,0.11420188708202395,0.16264454809837875,0.5245213457252321
2019-10-21,0.20151741206086837,0.11438650064195642,0.16293464483133366,0.5211614424658415
2019-10-22,0.20212186007687064,0.11428943098903512,0.1628802967959532,0.520708412138141
2019-10-23,0.20234718542903662,0.11439160819052265,0.16224292617538844,0.5210182802050524
2019-10-24,0.20193235469926943,0.11436600950274395,0.1621718754539991,0.5215297603439876
2019-10-25,0.20254765405724945,0.11468624528906278,0.16224117356135154,0.5205249270923363
2019-10-28,0.20259460492110956,0.11467897944058758,0.16221332139257208,0.5205130942457308
2019-10-29,0.20276550108558525,0.11479661204489236,0.16228884506641106,0.5201490418031113
2019-10-30,0.20417674890855675,0.11551821784733197,0.16205567087290831,0.518249362371203
2019-10-31,0.2043891482416449,0.1156736699267231,0.16218905817475315,0.517748123656879
2019-11-01,0.20361684552133402,0.11569608661146988,0.1619714383802178,0.5187156294869785
2019-11-04,0.20820636291337477,0.1185115469289208,0.1666308796002825,0.5066512105574219
2019-11-05,0.20905847050638626,0.11876164819442606,0.16793456735361895,0.5042453139455688
2019-11-06,0.20904026049391408,0.11868160465428311,0.16796436653109892,0.5043137683207038
2019-11-07,0.21359652030536852,0.12206855119500785,0.1721460860474359,0.4921888424521878
2019-11-08,0.2160826138018427,0.12258143574559785,0.17478663392657712,0.48654931652598243
2019-11-11,0.21576387845832068,0.12239297791668788,0.17647340850307508,0.48536973512191645
2019-11-12,0.21428760088173812,0.12141268450430201,0.17845433167045127,0.48584538294350854
2019-11-13,0.21761445758797288,0.12358854859913118,0.1797216129757267,0.4790753808371693
2019-11-14,0.2140530532801356,0.12387939890637595,0.18017923725178725,0.48188831056170117
2019-11-15,0.21405061293466537,0.12384869449238488,0.1802415241296886,0.48185916844326115
2019-11-18,0.2181236230599502,0.12115945699458609,0.19181185658296193,0.46890506336250176
2019-11-19,0.2188424582209476,0.12180541156281437,0.19301677234652026,0.46633535786971764
2019-11-20,0.2190750966388419,0.12160627197721163,0.19437165611477764,0.4649469752691689
2019-11-21,0.22059717091162528,0.12315483738474026,0.20472323557470795,0.4515247561289265
2019-11-22,0.21917504710615646,0.12281546490290736,0.21125055870554144,0.4467589292853947
2019-11-25,0.21906768157722784,0.12331119045760179,0.21266283767665442,0.44495829028851597
2019-11-26,0.21910413756469033,0.12331597350940536,0.21319936932179864,0.4443805196041057
2019-11-27,0.2210280537503709,0.12393616883581134,0.21124356120612314,0.44379221620769455
2019-11-28,0.2250158480787468,0.12576338840677226,0.22443313767615558,0.42478762583832547
2019-11-29,0.2243413613213329,0.12501822184141623,0.22646729400620424,0.42417312283104663
2019-12-02,0.22475473351277733,0.1249756462484613,0.22761553360799783,0.42265408663076354
2019-12-03,0.22498736760488236,0.12500956593830584,0.22797018132949795,0.4220328851273139
2019-12-04,0.22558014123694559,0.12517211022389563,0.23100747653162593,0.4182402720075329
2019-12-05,0.22487625738534617,0.1248944743727471,0.23137370326332268,0.41885556497858406
2019-12-06,0.22663436358244846,0.12184106703791564,0.24635410099620877,0.4051704683834272
2019-12-09,0.220336311223315,0.1131716090079518,0.26821136097660553,0.3982807187921276
2019-12-10,0.218515137878295,0.11233103608198082,0.27517316608667414,0.3939806599530499
2019-12-11,0.21763986312694994,0.10925491917113747,0.28293450275584925,0.39017071494606337
2019-12-12,0.217356647117647,0.10836446004604743,0.2874808846109006,0.38679800822540505
2019-12-13,0.21821699449235013,0.10905936595895403,0.2874739069973589,0.3852497325513369
2019-12-16,0.21846545394156036,0.10917940367509572,0.2877054487877842,0.38464969359555967
2019-12-17,0.21864509819719677,0.11000238303985763,0.28751952278186316,0.38383299598108245
2019-12-18,0.22036672366256843,0.11086308807719612,0.2897090919657912,0.3790610962944441
