symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,min_chunk,n_scales,min_segments,min_valid_scales,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
V,60,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.10519536578266031,0.15244901551611664,0.6900363733181291,0.2592836117401577,0.4057154444766156,0.5100719424460431,1.1350541143443067,6.160883280757098,2.7362047169519306,0.5500788643533123
V,60,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.08069557640023928,0.15591676267587679,0.5175554893221521,0.3350859289384389,0.24082054610853101,0.5102319236016372,1.0924762634255227,6.3596214511041005,2.1836027598235193,0.5800473186119873
V,60,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.0727040819021445,0.148962873719814,0.48806847026121725,0.2610212102184897,0.2785370654027963,0.503793626707132,1.1205284450623092,5.763406940063091,2.026443810551072,0.5208990536277602
V,60,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.04437009690596416,0.14933376593138645,0.2971203239215881,0.3388676917432213,0.1309363447359444,0.493411420204978,1.1179352551835615,5.962145110410094,1.547894616488382,0.5406151419558359
V,20,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.04730355431320277,0.17780450626527106,0.2660424941234582,0.3356007659342888,0.14095186636869858,0.5028026905829597,1.0615774406210345,7.850157728706625,1.5922095471952218,0.707018927444795
V,60,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.026394291641514744,0.13214194048639943,0.1997419709772716,0.33515135170807364,0.07875334981344466,0.4877637130801688,1.1204923421482569,4.968454258675078,1.299752447335204,0.46963722397476343
V,80,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.01937313191331591,0.13758445312492426,0.14080901928450773,0.30706437411108656,0.06309143471755307,0.5085995085995086,1.0171588844717707,5.365930599369085,1.2130003215526475,0.4842271293375394
V,40,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.020338526966231063,0.16138076443637858,0.12602819820108832,0.42870454997689134,0.04744182670169323,0.49229781771501924,1.0780747082904574,7.253943217665616,1.2246106939863781,0.6163249211356467
V,60,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.0175862782534022,0.14058596972734427,0.12509269799475325,0.494411419442643,0.035570129575946,0.48986212489862124,1.0919620711975844,5.167192429022082,1.1917718809741373,0.4893533123028391
V,40,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.011415918894284394,0.16852716878855367,0.06773933827018495,0.3676722509504389,0.03104917182293212,0.4967704051673517,1.0453540066404807,7.651419558359621,1.1210135195379114,0.6758675078864353
V,20,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.004351714273075125,0.18041435394801544,0.024120665445106583,0.4845970087823076,0.00898006837477203,0.488283378746594,1.0723787044007826,7.949526813880126,1.0446672663643253,0.7251577287066246
V,40,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.0005740951318558007,0.155739089719673,0.0036862622793619737,0.42870454997689167,0.0013391393487350344,0.49419002050580996,1.0423033256550833,6.856466876971609,1.005792455816901,0.5768927444794952
V,40,140,20,rs_robust,close,open,open_to_open,10,12,3,4,-0.0044222538161996505,0.15994931536145815,-0.02764784460756279,0.36369380262280604,-0.012159277348990345,0.48293963254593175,1.0828849530448605,7.055205047318612,0.956378035247721,0.6021293375394322
V,80,140,20,rs_robust,close,open,open_to_open,10,12,3,4,-0.01317253074450675,0.1447782180178975,-0.09098420276783874,0.4955441994144125,-0.026581949218803906,0.5038880248833593,0.9800900424738525,5.564668769716088,0.8750777944885155,0.5094637223974764
V,20,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.019260650251321176,0.1748788848718394,-0.1101370829613673,0.5720154741637504,-0.0336715545667344,0.49191299498047963,1.0279653549256604,7.750788643533123,0.8222421333203802,0.707807570977918
V,80,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.023072305580881025,0.14414299173059225,-0.1600653996692665,0.4408276601444977,-0.052338606822716655,0.4932330827067669,1.0061567073304971,5.66403785488959,0.790643232397406,0.5291798107255521
V,20,140,40,rs_default,close,open,open_to_open,8,8,2,3,-0.03178576150683876,0.17085006703115502,-0.1860447704772778,0.4553759101081638,-0.06980114846059557,0.4832009773976787,1.0462384710368131,7.1545741324921135,0.7224768736073416,0.6474763406940063
V,80,140,20,rs_default,close,open,open_to_open,8,8,2,3,-0.04343576505883451,0.1443357108773707,-0.3009356783210638,0.4572989145274361,-0.09498331108815378,0.47424242424242424,1.0484819551285953,5.66403785488959,0.6396124233438076,0.5248422712933754
V,20,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.05532379363937301,0.17367394235667924,-0.318549765662329,0.6164554988440822,-0.08974499171977675,0.4815426997245179,1.0258678500590037,7.850157728706625,0.5639757546248336,0.7184542586750788
V,40,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.050037898837989814,0.15246178310043323,-0.3281996171134091,0.5818983076121844,-0.08599079630136747,0.4860557768924303,0.9988271698914869,6.458990536277603,0.5965506452374276,0.5985804416403786
V,80,140,40,rs_default,close,open,open_to_open,8,8,2,3,-0.04976137039006845,0.1335106358901399,-0.3727146534678699,0.5188083205192946,-0.09591475005693902,0.47107438016528924,1.0386162724703902,5.167192429022082,0.5983005021652811,0.4810725552050473
V,40,140,40,rs_default,close,open,open_to_open,8,8,2,3,-0.0592639871434405,0.15457194840627764,-0.3834071301713216,0.601988127603827,-0.09844710290107678,0.4854744996772111,0.9891516479456444,6.757097791798107,0.5407457467350896,0.6151419558359621
V,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.06244615390757313,0.16194833775669676,-0.3855930525288205,0.591769322406285,-0.10552448655778766,0.47915330339961515,1.0144580315865008,6.558359621451104,0.5226177786727798,0.6182965299684543
V,80,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.07213324955651723,0.13314937403815796,-0.5417468168933732,0.6304847013919932,-0.11440919882316003,0.4661525278491859,1.0107663031341343,4.968454258675078,0.47075150548980643,0.4645110410094637
