date,CU,AL,ZN,NI
2015-05-13,0.174071675291303,0.31250294651166594,0.513425378197031,0.0
2015-05-14,0.17394604916705328,0.3132270902643244,0.5128268605686224,0.0
2015-05-15,0.17484192238076837,0.3151477684452437,0.5100103091739879,0.0
2015-05-18,0.17776939309505618,0.3227688312110271,0.49946177569391664,0.0
2015-05-19,0.17762595597546468,0.3266859019902414,0.49568814203429395,0.0
2015-05-20,0.17687335775896879,0.33016469576008195,0.4929619464809493,0.0
2015-05-21,0.17609788212817334,0.3310739148794581,0.49282820299236857,0.0
2015-05-22,0.17756686210666386,0.3357642715964964,0.48666886629683975,0.0
2015-05-25,0.17430087723911547,0.347865790090375,0.47783333267050954,0.0
2015-05-26,0.17229798621966508,0.3520938672168068,0.4756081465635282,0.0
2015-05-27,0.17254277328859116,0.3532352871205018,0.4742219395909071,0.0
2015-05-28,0.1733437211621423,0.35329974532824465,0.473356533509613,0.0
2015-05-29,0.17333227383340621,0.3540106945490171,0.47265703161757666,0.0
2015-06-01,0.18080457871639494,0.36722466628723593,0.45197075499636913,0.0
2015-06-02,0.1833521422405057,0.3794326308668665,0.4372152268926279,0.0
2015-06-03,0.18789878206075863,0.3908401424420529,0.42126107549718844,0.0
2015-06-04,0.18601164470659157,0.39766510726440185,0.41632324802900655,0.0
2015-06-05,0.18685035436941957,0.40133443811582886,0.4118152075147515,0.0
2015-06-08,0.18831616090183484,0.4005586328812338,0.41112520621693144,0.0
2015-06-09,0.189871087151933,0.4059321132465202,0.4041967996015468,0.0
2015-06-10,0.18875862077105504,0.4100522339576475,0.4011891452712975,0.0
2015-06-11,0.19016498690213235,0.41109685261144246,0.3987381604864252,0.0
2015-06-12,0.18978123417812162,0.4118480343421579,0.3983707314797206,0.0
2015-06-15,0.19046850247754293,0.41493396181681574,0.3945975357056413,0.0
2015-06-16,0.19131353428423373,0.417343234636347,0.3913432310794192,0.0
2015-06-17,0.19229532211884312,0.42367599146233365,0.3840286864188234,0.0
2015-06-18,0.19245216015537897,0.428441309403224,0.379106530441397,0.0
2015-06-19,0.1886604569561697,0.4398843787088733,0.37145516433495696,0.0
2015-06-23,0.1859952791218721,0.4508996067256994,0.3631051141524285,0.0
