symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,min_chunk,n_scales,min_segments,min_valid_scales,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
ZN,60,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.1264814861764707,0.15882591388626233,0.7963529570309669,0.21566510045971454,0.5864717374617456,0.5089531680440771,1.1601802811501896,5.962145110410094,3.3153138787615672,0.5642744479495269
ZN,60,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.11997536931180885,0.16184629647213727,0.7412920278497894,0.2156651004597141,0.5563040522368619,0.5075409836065574,1.1485849817862004,6.160883280757098,3.1275845881473994,0.5926656151419558
ZN,40,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.07334904386242824,0.16171765991865786,0.4535623623253142,0.2822013481643726,0.25991741123683415,0.4923733984136669,1.148778290379629,6.757097791798107,2.0387385991875644,0.6376182965299685
ZN,60,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.06726752967907634,0.15951837649681,0.42169141359347734,0.23492929462922296,0.28633095666183855,0.4912826899128269,1.1474072384156409,6.558359621451104,1.9254316099995188,0.623422712933754
ZN,60,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.05027241409189842,0.15631977507932876,0.3215998364019287,0.32065312660881506,0.15678130016561137,0.4935680433310765,1.1189564371858907,5.962145110410094,1.6382195038658944,0.5729495268138801
ZN,60,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.04566074886876392,0.15452548816390707,0.29549008005935573,0.35250679926508355,0.1295315408495915,0.4922139471902505,1.11895527051934,5.962145110410094,1.5672534110902454,0.5729495268138801
ZN,40,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.03393998271666354,0.1624670841738927,0.20890374742207293,0.2788677334051767,0.1217063813809931,0.4927444794952681,1.094210254738534,6.558359621451104,1.399180157875108,0.6171135646687698
ZN,40,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.027846840333096257,0.15831524348809475,0.17589487733182388,0.2789549055364817,0.09982559826127325,0.48908007941760423,1.1035686357182586,6.3596214511041005,1.3183824427314785,0.5879337539432177
ZN,40,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.02825463424206509,0.162829834287255,0.17352246512896338,0.2717397102582275,0.1039768321502051,0.4929305912596401,1.086271193441428,6.558359621451104,1.3236557541496772,0.6044952681388013
ZN,80,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.02591213628011091,0.1518859531009838,0.17060258536800182,0.366168455699878,0.07076561587093463,0.4947019867549669,1.0774332318429853,6.061514195583596,1.2936210738072682,0.5875394321766562
ZN,20,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.02945459135127515,0.17309481425153905,0.17016449324976388,0.24652201202799584,0.11948057339370649,0.4955849889624724,1.0707041979940095,7.850157728706625,1.3392831528852063,0.7046529968454258
ZN,40,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.02494623585796152,0.16109054055363026,0.1548584775507437,0.2764266097532838,0.09024542130812416,0.4945337620578778,1.0752353434756348,6.558359621451104,1.281416412545531,0.6044952681388013
ZN,60,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.02331958693340419,0.15322082429238845,0.1521959370803531,0.3674243105833276,0.06346772998330381,0.4901828029790115,1.0936277228422684,5.962145110410094,1.2610970385221114,0.5729495268138801
ZN,80,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.019999273953251517,0.15476524870803882,0.12922328571952027,0.3698903112428136,0.05406812058973625,0.49150237933378654,1.0826634773646862,5.962145110410094,1.2205192944002383,0.5713722397476341
ZN,20,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.020358289004096974,0.17251318966200085,0.11801004342905182,0.39387518819954703,0.051687157795232724,0.48965141612200436,1.0848336803862153,7.452681388012619,1.2248494049228906,0.7137223974763407
ZN,80,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.017593501441520498,0.15919383356921352,0.1105162244482999,0.27609411515427584,0.0637228411467213,0.49555099247091033,1.0616277360849287,5.962145110410094,1.191857017024158,0.5686119873817035
ZN,80,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.017415632439576223,0.1627561139962917,0.10700447443696665,0.281863804797315,0.06178740279227978,0.4984126984126984,1.0476202456267383,6.3596214511041005,1.1897621579076467,0.612776025236593
ZN,40,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.01633772624605556,0.16239207895653357,0.10060666967893535,0.26040858291603874,0.06273881629824464,0.4905314599877825,1.0786984930350316,6.757097791798107,1.1771378601907567,0.63801261829653
ZN,80,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.002657279967875903,0.15530352004756778,0.017110236568121617,0.36773388036309307,0.007226095037128909,0.5048480930833872,1.0009070194830316,6.2602523659306,1.0270658511843556,0.6025236593059937
ZN,20,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.0004376243884653963,0.17032998483136472,0.0025692739237819255,0.3579133433663636,0.0012227104593232215,0.4747252747252747,1.1258167786064457,7.452681388012619,1.0044127739244229,0.7089905362776026
ZN,80,140,20,rs_robust,close,open,open_to_open,10,12,3,4,-0.0027101496677561787,0.15659174518259875,-0.017307104308697262,0.3453959703176741,-0.007846500540419011,0.4987179487179487,1.018365897445369,6.2602523659306,0.9730589680055624,0.6072555205047319
ZN,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.009410149614343166,0.1693152814922461,-0.05557767456905011,0.41842564649259073,-0.022489418832766974,0.48458406050029085,1.0698504244046358,7.253943217665616,0.909238951162809,0.668769716088328
ZN,20,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.015309415150170813,0.17259962031705905,-0.08869900827155928,0.451455908513159,-0.03391120785325723,0.4744160177975528,1.107191984294585,7.452681388012619,0.8561945197970012,0.6991324921135647
ZN,20,140,40,rs_default,close,open,open_to_open,8,8,2,3,-0.02052637430044546,0.1701792795113472,-0.12061617818212002,0.31452227440271385,-0.06526206876579915,0.47651006711409394,1.0906214201126818,7.651419558359621,0.8116252940340857,0.694794952681388
