date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2022-05-17,0.15723047387312858,0.09172799802350962,0.09797831596140659,0.059548340067897346,0.061623875706191586,0.12456068747460004,0.09659388643028709,0.07538657505519554,0.06086639994436093,0.10770943752784541,0.06677400993557728
2022-05-18,0.15692140601523075,0.09233889531722858,0.09669036886124685,0.05995599717589035,0.062039073073356855,0.12403043480733668,0.09749353948665414,0.0761177457099733,0.06121558525179263,0.10718104521856714,0.06601590908272262
2022-05-19,0.15677136646762552,0.09228356287170032,0.09630110058834469,0.05992364913151351,0.06201766651496213,0.12401359618489692,0.09807596056748676,0.0760823602207979,0.06119524510039959,0.1073236993293328,0.06601179302293958
2022-05-20,0.15705784899702216,0.09262301368654575,0.09521973129098461,0.06024318829746319,0.061999134667620005,0.12436344767721733,0.09980270225930798,0.07588318648378353,0.06116922383012787,0.1063150253254633,0.06532349748446414
2022-05-23,0.15660087521076463,0.09235020717345714,0.09483863400150024,0.0600607043961684,0.06162553476405817,0.12390989952435527,0.1001565805286521,0.07766392266889165,0.060877509392521914,0.10681106644094426,0.06510506589868616
2022-05-24,0.1568368054525906,0.09255283382784082,0.09504731148819039,0.06015846377414047,0.061243769406856476,0.12399279717688153,0.10180947380249658,0.07825119289869673,0.060854471559255996,0.10432709137702464,0.06492578923602584
2022-05-25,0.1523560750710801,0.09008011898394852,0.09234610119568612,0.05855048791055602,0.05952344580839936,0.12061360094516368,0.12762823525592942,0.07713039018627253,0.059057076366652646,0.10059602235307147,0.06211844592324022
2022-05-26,0.15259951992161844,0.09001077186814853,0.09216814569927602,0.05869919122592085,0.05953554251559234,0.12096867902123537,0.12791754520987048,0.07730253560691062,0.05904097175477063,0.09974926071727269,0.062007836459384076
2022-05-27,0.15263680439376381,0.0900172511114264,0.09268300978176797,0.05874540266253077,0.05927662664572186,0.12065443298626215,0.12786601015123994,0.07730574645737885,0.0589863946462822,0.09972510514745005,0.06210321601617602
2022-05-30,0.1520742610211679,0.08962219674927013,0.09228646351815052,0.058500949675739704,0.05928154723528446,0.11987785183307363,0.12734866834657818,0.07698108569414909,0.05871245812156935,0.09971669861070726,0.06559781919430985
2022-05-31,0.15257004936240223,0.08989504136031,0.09210344369732432,0.0586548348814884,0.0595421726930855,0.12017159918422013,0.12770360844009793,0.07716518373182434,0.05879177237600888,0.09831047659880998,0.06509181767442845
2022-06-01,0.1570906554717313,0.08973132817499398,0.09165198664521983,0.05821200690526973,0.061477193715220826,0.1192141097935731,0.12716571665429832,0.07687655007572582,0.05835168769925269,0.09630331337757451,0.06392545148713995
2022-06-02,0.15724374465121294,0.08956604846684668,0.09145207048224875,0.058091158278139876,0.06148305946490402,0.11888221253472975,0.1274973870417057,0.07674883468815455,0.05936173978533705,0.09584604511339603,0.06382769949332469
2022-06-06,0.15734255097028188,0.0889668213579472,0.09118651739348084,0.057916496944290616,0.06284671390589451,0.11855885861060517,0.12753069303706588,0.0765148620688591,0.0591060558284407,0.09691963075600224,0.06311079912713174
2022-06-07,0.1576322956532556,0.08889448391075881,0.09133180318813991,0.058012882966467706,0.06041915669226751,0.11869573708601115,0.12743705641886094,0.07660646719664571,0.059118795067377355,0.09879740947959076,0.06305391234062467
2022-06-08,0.15761390588206617,0.0888746610119889,0.09105507715769662,0.05784367912993255,0.0599700152861362,0.11875686283851178,0.12680981925120982,0.07632456084948833,0.0589766497311886,0.09848971122211024,0.0652850576396708
2022-06-09,0.1576269906073781,0.08851579700810461,0.09035521327806885,0.05775195663245249,0.05995114509264951,0.11850258136282713,0.12661132811598008,0.07620630827483095,0.058852349059997096,0.09898590245715304,0.06664042811055795
2022-06-10,0.15787638650842,0.08879228246546962,0.09037745481382622,0.05790830489245085,0.06024671197871176,0.11863952871314153,0.12672789384775227,0.0761346793843088,0.05894282314869268,0.09855467287625386,0.06579926137097229
