portfolio,group,weight_method,strategy_mode,signal_price_col,trade_price_col,return_mode,period,start,end,n_days,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
all_equal_weight,all,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.05048668714095217,0.08001215790808504,0.6309876956318236,0.1228435633511974,0.4109835775165184,0.5123173277661796,1.0737204518585095,1.6415860762271788
all_equal_weight,all,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.02873933286884911,0.0753889222370792,-0.3812142688347651,0.09963648246468881,-0.28844186544857536,0.5122448979591837,0.891224033654421,0.9448767653514114
all_inverse_vol_120d,all,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.0642244957614293,0.07559563645546424,0.8495794039549619,0.08896619411364426,0.7218977545492141,0.5158730158730159,1.0983646013186403,1.8708928168756238
all_inverse_vol_120d,all,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.018249668650316853,0.06772544846957844,-0.26946545298277963,0.08348115107251308,-0.21860825366991998,0.48775510204081635,1.0050460127875263,0.9648204472041038
nonferrous_equal_weight,nonferrous,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.04400936453086546,0.10220681105704073,0.43059130869765827,0.1484050239298862,0.29654902081790463,0.515625,1.027408845838646,1.5425225535621299
nonferrous_equal_weight,nonferrous,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.04106998598333622,0.08351674206994812,-0.49175752029381975,0.11945053681869133,-0.3438242060450053,0.5040983606557377,0.9017663411948189,0.9216916696135198
nonferrous_inverse_vol_120d,nonferrous,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.033886816412274534,0.09920744106631038,0.3415753500750467,0.16146329095065837,0.20987319292674408,0.5063398140321217,1.048866685220296,1.398456285022984
nonferrous_inverse_vol_120d,nonferrous,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.05141853553565712,0.08375166126984342,-0.613940484953359,0.12019314916976198,-0.42779922059478676,0.48770491803278687,0.9386244086894973,0.9024494815404501
energy_chem_equal_weight,energy_chem,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.055615905637246055,0.116129557172966,0.47891257825439276,0.1905907154570522,0.2918080532090692,0.5119409465914025,1.05082436476373,1.7240572914644632
energy_chem_equal_weight,energy_chem,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.028925145162754462,0.12053179899819882,-0.23997936978594925,0.17657815661983056,-0.16380930527567888,0.4989733059548255,0.9710398006386846,0.9445253100361881
energy_chem_inverse_vol_120d,energy_chem,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.08341815328704971,0.11258747570765262,0.7409185858616754,0.19968760308571554,0.4177432749855915,0.5206252713851498,1.0611992775958665,2.239599481820191
energy_chem_inverse_vol_120d,energy_chem,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.022086846229030344,0.1192090339303083,-0.18527829226384557,0.16805306850758805,-0.13142780685395852,0.5071868583162218,0.9493665177652312,0.9575014680428691
ferrous_equal_weight,ferrous,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.03928823131835002,0.14608047721438472,0.26894922625897105,0.28647867868548094,0.13714190353929887,0.5035087719298246,1.053661845335862,1.4737462000970558
ferrous_equal_weight,ferrous,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.026508895943439192,0.13705482445331052,-0.1934181890289443,0.21954019665998314,-0.12074734534603394,0.5393013100436681,0.8314680185206348,0.9491004894301227
ferrous_inverse_vol_120d,ferrous,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.05661705676237516,0.14275043115765063,0.3966156620560288,0.3139745778435248,0.18032369738734502,0.4971478718736288,1.1065232508977196,1.7405830510122384
ferrous_inverse_vol_120d,ferrous,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.004564619800149217,0.11157585582544464,0.04091046191292816,0.14165877721712117,0.032222640134419625,0.5480349344978166,0.840944168648695,1.0088947795911865
