portfolio,group,weight_method,strategy_mode,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
all_equal_weight,all,equal_weight,ensemble,close,open,open_to_open,0.03086935638571764,0.05137800850746933,0.6008282002839767,0.12357146029735122,0.24980975632590569,0.5228320067029745,1.0255002772952355,1.3579213779508748
all_inverse_vol_120d,all,inverse_vol_120d,ensemble,close,open,open_to_open,0.0371856817144427,0.046016369292845846,0.8080968204552362,0.09014618054210388,0.41250424023316956,0.5205364626990779,1.0735808886998905,1.4440156165493128
nonferrous_equal_weight,nonferrous,equal_weight,ensemble,close,open,open_to_open,0.034446709912151485,0.06399410029269903,0.5382794625535418,0.13127826370154405,0.2623946184302431,0.5253668763102726,1.008785246938177,1.4060963330940077
nonferrous_inverse_vol_120d,nonferrous,inverse_vol_120d,ensemble,close,open,open_to_open,0.042981494075177595,0.06110849146835616,0.7033636904199267,0.0780745074840643,0.5505189268590711,0.5218120805369127,1.0564053578918178,1.5273073650286897
energy_chem_equal_weight,energy_chem,equal_weight,ensemble,close,open,open_to_open,0.0023358359345264645,0.07062707846150366,0.03307280982604493,0.21678983138508945,0.010774656355432363,0.5196982397317687,0.9365080895662429,1.023757062898759
energy_chem_inverse_vol_120d,energy_chem,inverse_vol_120d,ensemble,close,open,open_to_open,0.008050561988133254,0.06178284833531918,0.1303041573033307,0.13956155219364952,0.05768466932040599,0.5224318658280922,0.9421203318402853,1.084037385831045
ferrous_equal_weight,ferrous,equal_weight,ensemble,close,open,open_to_open,0.044727243585561016,0.08812715991692878,0.5075307501991692,0.236883529608514,0.18881533747609883,0.5190033783783784,1.0320397360282911,1.5532298744877664
ferrous_inverse_vol_120d,ferrous,inverse_vol_120d,ensemble,close,open,open_to_open,0.04527186261941751,0.08369703624618392,0.5409016214893946,0.20491120148377606,0.2209340548081357,0.5128855090832277,1.0637796268887094,1.5613975889451706
