date,TA,RU,V
2020-01-10,0.32241497150242454,0.21056136570343936,0.46702366279413604
2020-01-13,0.32300765526586334,0.20892612815548642,0.4680662165786503
2020-01-14,0.32419323283717927,0.20932425662393545,0.4664825105388853
2020-01-15,0.33267600280761644,0.20704854926363603,0.4602754479287476
2020-01-16,0.33804686105456067,0.20540628280928128,0.4565468561361581
2020-01-17,0.38662802234443705,0.18996381923631953,0.42340815841924345
2020-01-20,0.3895836379060642,0.18896504545089646,0.4214513166430393
2020-01-21,0.3896128141265723,0.1889273462819631,0.42145983959146455
2020-01-22,0.39023394979456266,0.1881398091060122,0.4216262410994251
2020-01-23,0.39108317042583024,0.1864453467855445,0.4224714827886253
2020-02-03,0.3920587772285733,0.1858596510652357,0.422081571706191
2020-02-04,0.41155981275790104,0.190344240768483,0.398095946473616
2020-02-05,0.4127969523252876,0.18792689426508274,0.3992761534096297
2020-02-06,0.4125374729478745,0.18852370012327957,0.3989388269288459
2020-02-07,0.4123091220453831,0.18835043117259134,0.39934044678202557
2020-02-10,0.4113428906837035,0.1876807685240698,0.4009763407922267
2020-02-11,0.410255741122101,0.18831974151881645,0.40142451735908263
2020-02-12,0.4096685581282791,0.1880911465888544,0.4022402952828665
2020-02-13,0.39734458306076714,0.20830241196558752,0.3943530049736454
2020-02-14,0.3934108423010945,0.206143043472444,0.4004461142264615
2020-02-17,0.3928323188915036,0.20607810742155463,0.4010895736869416
2020-02-18,0.3699109057364889,0.19455755550518503,0.43553153875832606
2020-02-19,0.36937677253254797,0.19474305478531911,0.435880172682133
2020-02-20,0.3691260300944565,0.19525670259699043,0.43561726730855305
2020-02-21,0.3687807929255257,0.1951282384520863,0.43609096862238816
2020-02-24,0.3676091900746063,0.19694677062734547,0.43544403929804815
2020-02-25,0.3674897594638889,0.19719390995838265,0.4353163305777285
2020-02-26,0.3676204059714836,0.19759112221219718,0.4347884718163192
2020-02-27,0.36644556743738116,0.19655427661778205,0.4370001559448367
2020-02-28,0.3632885432902451,0.19528551733901423,0.44142593937074065
2020-03-02,0.3629764300761271,0.19626078925676682,0.440762780667106
2020-03-03,0.36376890750348473,0.19364199148399389,0.4425891010125213
2020-03-04,0.3630474699986218,0.19400208056485677,0.4429504494365215
2020-03-05,0.36005374021978154,0.19228504553466017,0.4476612142455582
2020-03-06,0.35914627181166925,0.19341308571583535,0.4474406424724954
2020-03-09,0.3559544476215149,0.19207969852782616,0.4519658538506589
2020-03-10,0.36776948025384626,0.2022605452479985,0.42996997449815516
2020-03-11,0.3615039942854557,0.20643758193568837,0.432058423778856
2020-03-12,0.36166573232747,0.20876794004842703,0.4295663276241029
2020-03-13,0.36094468630511234,0.21032624486919588,0.4287290688256918
2020-03-16,0.35585349721851856,0.20937736215335703,0.43476914062812444
2020-03-17,0.3555733394386272,0.20913697068938197,0.43528968987199074
2020-03-18,0.3557888727730256,0.2095503356304138,0.43466079159656057
2020-03-19,0.355476573317554,0.20798783768302662,0.4365355889994193
2020-03-20,0.3543036648886541,0.20758434046702326,0.43811199464432266
2020-03-23,0.35500598818169093,0.20741840913909879,0.4375756026792102
2020-03-24,0.3628198773062909,0.2062354728522481,0.430944649841461
2020-03-25,0.3625927666315783,0.205417584002199,0.4319896493662227
2020-03-26,0.36212935050920936,0.2058604996968548,0.43201014979393587
2020-03-27,0.3636447814229986,0.2068821705812658,0.42947304799573555
2020-03-30,0.3650624563775091,0.20803898125503734,0.42689856236745366
2020-03-31,0.3682434099233433,0.20950260379982258,0.4222539862768341
2020-04-01,0.37117182764824097,0.21230101137355462,0.41652716097820436
2020-04-02,0.37111496086169343,0.21364042551692516,0.41524461362138143
2020-04-03,0.37004705169438246,0.21290995867492615,0.4170429896306915
2020-04-07,0.3664796664442617,0.2114397266196114,0.42208060693612687
2020-04-08,0.3664319547890174,0.2118337094208638,0.42173433579011876
2020-04-09,0.3657222079130141,0.2121021742615393,0.4221756178254466
2020-04-10,0.3653444233107725,0.21023259472431852,0.4244229819649091
2020-04-13,0.36506428568191507,0.21043597451926346,0.4244997397988215
2020-04-14,0.3632361455240367,0.21083794302389916,0.4259259114520642
2020-04-15,0.3602774946539122,0.2089636624077562,0.4307588429383316
2020-04-16,0.3604661567139185,0.20892365690508802,0.4306101863809935
2020-04-17,0.3599282016856127,0.20965738034902037,0.43041441796536695
2020-04-20,0.3669108349402859,0.20657316626180441,0.42651599879790963
2020-04-21,0.36691735165967376,0.20670002121678543,0.42638262712354086
2020-04-22,0.3665198470515998,0.2067966226719362,0.42668353027646405
2020-04-23,0.368211253123002,0.20555673924559742,0.4262320076314005
2020-04-24,0.36766390706814694,0.2060966398465713,0.4262394530852818
2020-04-27,0.3749285731807789,0.20337795237363693,0.42169347444558425
2020-04-28,0.37491839620703366,0.2034208861679422,0.42166071762502405
2020-04-29,0.3751217914834717,0.20364152212455083,0.4212366863919775
2020-04-30,0.3735307507212954,0.20412392900625018,0.42234532027245447
2020-05-06,0.37274576203540444,0.20430334046797866,0.4229508974966168
2020-05-07,0.37103945943284133,0.20546121966035055,0.42349932090680814
2020-05-08,0.3697766317255264,0.20579405754405147,0.4244293107304222
2020-05-11,0.3730389897575891,0.20456615827038538,0.4223948519720256
2020-05-12,0.37369061469618325,0.2042264932539308,0.42208289204988586
2020-05-13,0.37595477301922237,0.20380641153045495,0.42023881545032277
2020-05-14,0.3757379560546499,0.20296242334512862,0.4212996206002216
