date,RB,I,J,JM
2019-03-29,0.3647756633097284,0.18387517439994397,0.3082875711177276,0.14306159117260006
2019-04-01,0.3652758930963527,0.18385910113201334,0.3078820429045946,0.1429829628670394
2019-04-02,0.34564467098996343,0.18870850005325812,0.31724073648442624,0.14840609247235234
2019-04-03,0.3464525699790279,0.18842878859224194,0.31603847399956786,0.14908016742916239
2019-04-04,0.34060283036648015,0.18907078251335258,0.32024485469477026,0.1500815324253971
2019-04-08,0.337406955939814,0.18545853871632081,0.32614865385805614,0.15098585148580898
2019-04-09,0.32908767758752494,0.18454439833285066,0.33851732480487273,0.14785059927475167
2019-04-10,0.3111136729218373,0.18379920676680314,0.35366721745562474,0.1514199028557348
2019-04-11,0.3112263290126644,0.18428084906977715,0.3533831676063979,0.15110965431116063
2019-04-12,0.3038032721181199,0.18036827887030218,0.36823787471550806,0.14759057429606984
2019-04-15,0.3013839508906576,0.18038483988298387,0.37131043639982986,0.14692077282652866
2019-04-16,0.30111316834945817,0.18033231338073846,0.37159577668069393,0.14695874158910943
2019-04-17,0.29757626781218743,0.18354000637479326,0.37315336143861344,0.14573036437440579
2019-04-18,0.2952038334114321,0.18305213402057208,0.37657083252502765,0.1451732000429682
2019-04-19,0.2949718999135125,0.18234417739150516,0.3772964800377545,0.14538744265722778
2019-04-22,0.29234376157869935,0.18459212819648202,0.3771156940710738,0.14594841615374488
2019-04-23,0.2920269651064273,0.1852399439394836,0.37624305500608857,0.14649003594800067
2019-04-24,0.2910854946161586,0.18588028795728018,0.3768086280551931,0.14622558937136804
2019-04-25,0.2908452472827464,0.18586577099879556,0.37672136007631407,0.14656762164214396
2019-04-26,0.29074957482544683,0.1854903114487162,0.3771830959422687,0.1465770177835684
2019-04-29,0.29089383589439743,0.1851322342784657,0.37750402338213257,0.14646990644500438
2019-04-30,0.29064395232374124,0.18517029126562998,0.3776680456058563,0.1465177108047725
2019-05-06,0.29096394755389415,0.18485887074123408,0.3773086696615282,0.1468685120433435
2019-05-07,0.2912891136765927,0.18497009790875227,0.37723688670590283,0.14650390170875222
