date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2021-10-12,0.07919592946889938,0.10807925590680205,0.09416866456587801,0.06289124237147099,0.051450592369098984,0.06466055286597683,0.07998836569084213,0.09293872287072215,0.09336901977088106,0.08481344276903405,0.1884442113503944
2021-10-13,0.07919553259510691,0.10819412287547524,0.09317237767293954,0.06289092720519868,0.05145033453524496,0.06477221332439857,0.08052496579319361,0.09317468938082449,0.09336855187161877,0.08481301774425172,0.1884432670017476
2021-10-14,0.07945485002161243,0.10857572806472976,0.09424249972943823,0.06309685691940084,0.05161880323426539,0.06575865967701064,0.08293042722600162,0.08649686411434393,0.09367427735630843,0.0850907290339535,0.18906030462293538
2021-10-15,0.07940367017027357,0.11003222665911626,0.09130367682113165,0.0630562138654374,0.05158555362552405,0.06574736368537473,0.08287752892881094,0.08840538532075343,0.09361393823807881,0.08503591890139282,0.18893852378410614
2021-10-18,0.07988585511113687,0.1110567491597361,0.08500279493970588,0.06343912761096793,0.05189881089777589,0.0661884937359983,0.08391886507381152,0.08878871361617119,0.09418241613307425,0.08555230610917298,0.19008586761244908
2021-10-19,0.07950828009234173,0.114840300788098,0.08467852171966145,0.06313929518667907,0.05165347749778287,0.06590279517474126,0.08397472262573072,0.08822990055400222,0.09373728166767407,0.08514796014304434,0.18918746455024432
2021-10-20,0.07965907823865404,0.11709342475731345,0.08546589385437385,0.06295116848746626,0.05156031807323627,0.06572563929402522,0.08382069933347756,0.08674776270407815,0.09345798673191048,0.08489425752189446,0.18862377100357025
2021-10-21,0.07983684968078635,0.11839260894606758,0.08543908352317553,0.06291341670965009,0.05152966090453537,0.06576001442157438,0.0838674869132971,0.08550493893879857,0.09340194003357236,0.08484334648680426,0.18851065344173829
2021-10-22,0.08011680523182682,0.12004909045054438,0.08591879190572416,0.06308024324135869,0.05166713602633476,0.06635773220013809,0.084149735773014,0.08093200416896022,0.09364961250989912,0.08506832427331151,0.1890105242188882
2021-10-25,0.08058999652079851,0.12078543423920979,0.08740624878666896,0.06338115049383045,0.05212750647503103,0.06668941235471501,0.08604586198434211,0.07349176386715764,0.0940963577111894,0.08547411972390155,0.1899121478431557
2021-10-26,0.08102687687025968,0.12135776814551776,0.0877348709763442,0.06362321237332973,0.05233513941671996,0.06702874744737224,0.08932310016432234,0.0737726844704481,0.08735867479649148,0.08580084261113505,0.19063808272805957
2021-10-27,0.08099453446588578,0.12208561769415152,0.08760690283431573,0.06357016686936642,0.05225190985237068,0.06697538061861456,0.08966238257273186,0.0736517707342447,0.08721549356572506,0.08566021467378963,0.1903256261188042
2021-10-28,0.08155690107209783,0.12165536160560755,0.08941360837377038,0.06371824338563445,0.05196198758510267,0.06691677380431815,0.09041893395944704,0.07323120039284245,0.08671747091754115,0.08517070051201302,0.18923881839162532
2021-10-29,0.08190462681061637,0.12142696313898252,0.08923672141443294,0.0642492635331615,0.05265466800448936,0.06676818797848127,0.09033471747952658,0.07306429247162137,0.08651982520469263,0.08503322705740171,0.18880750690659379
