portfolio,group,weight_method,strategy_mode,signal_price_col,trade_price_col,return_mode,period,start,end,n_days,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
all_equal_weight,all,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.06078323393655549,0.06572146898695622,0.9248611583624095,0.14038127503470044,0.432986763523345,0.5222462203023758,1.0842368524242525,1.8108962025949107
all_equal_weight,all,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.00842406550264585,0.0685574424762416,-0.12287601751721103,0.11418576134851954,-0.07377509597657966,0.49183673469387756,1.0173984140477514,0.9836850434748908
all_inverse_vol_120d,all,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.07653239127820344,0.07505595605190184,1.0196711267694816,0.12834679998655363,0.5962937236161823,0.5259291270527225,1.109489405622374,2.1004119629695945
all_inverse_vol_120d,all,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.02439422534744118,0.08083916795153406,-0.3017624496341474,0.13070442434277185,-0.18663656926767389,0.48775510204081635,0.993320231188567,0.953113439196585
nonferrous_equal_weight,nonferrous,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.059914780507810406,0.08668118543856894,0.691208596244592,0.09310840541398968,0.6434948621599755,0.5032287822878229,1.136090438114618,1.7960316639104767
nonferrous_equal_weight,nonferrous,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.0099221817687839,0.07895258676151778,-0.12567266223657236,0.08729418131682254,-0.113663724421364,0.49691991786447637,0.996140801052472,0.9807972829152607
nonferrous_inverse_vol_120d,nonferrous,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.07798510349722565,0.08940510302519176,0.8722668042253887,0.0853855907430825,0.9133286169076906,0.5126903553299492,1.1325072291319718,2.1291107163100293
nonferrous_inverse_vol_120d,nonferrous,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.00430354976994729,0.07799645150119862,-0.05517622516302751,0.10375572094022023,-0.04147771063560744,0.4948665297741273,1.0176088616926826,0.9916489936585751
energy_chem_equal_weight,energy_chem,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,-0.004681781065300483,0.1031817445737154,-0.045374121988756566,0.31152876824855735,-0.015028406819767805,0.5089572806614607,0.9659811273492314,0.953872081254294
energy_chem_equal_weight,energy_chem,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.0032260357619922075,0.10827371079499563,-0.029795189786192434,0.1590384935039364,-0.020284622237775152,0.49369747899159666,1.0300936819440882,0.9937367093482308
energy_chem_inverse_vol_120d,energy_chem,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,-0.0020408055415861437,0.10614577633638254,-0.019226441334026373,0.3272651818979634,-0.006235938481908038,0.5071198897565456,0.9784639778365278,0.9796512719622456
energy_chem_inverse_vol_120d,energy_chem,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.016889138150818273,0.10497971496915412,0.16088001530372567,0.13456754833310802,0.12550676860821572,0.49159663865546216,1.0751202266248363,1.0331018222233423
ferrous_equal_weight,ferrous,equal_weight,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.10265076608559953,0.11903788481348031,0.862336946312868,0.24609602401160624,0.41711671896315716,0.5056958890539871,1.1679090602012128,2.6734638161111257
ferrous_equal_weight,ferrous,equal_weight,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.019875732861371787,0.12762042754509773,-0.1557409988643724,0.2183386598080308,-0.09103167015336204,0.5223214285714286,0.898118731815469,0.9617156098730231
ferrous_inverse_vol_120d,ferrous,inverse_vol_120d,fixed,close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.09682873731903774,0.11858639627927524,0.8165248321654245,0.24583034307940166,0.39388440054270546,0.5022310361923649,1.1798873386478437,2.5347591684648143
ferrous_inverse_vol_120d,ferrous,inverse_vol_120d,fixed,close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.03509178194528806,0.11997100486590578,-0.2925021923798247,0.19178797082482146,-0.18297175674975352,0.5022321428571429,0.9445341687015704,0.9328974353371844
