portfolio,group,weight_method,strategy_mode,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
all_equal_weight,all,equal_weight,fixed,close,open,open_to_open,0.04925728050372724,0.06619578282323799,0.7441150841173451,0.14038127503470044,0.35088212791593093,0.5169340463458111,1.0720471803533875,1.7813515097780879
all_inverse_vol_120d,all,inverse_vol_120d,fixed,close,open,open_to_open,0.05950778731166739,0.07604237574787115,0.782560864602305,0.1307044243427703,0.455285179601948,0.5192582025677603,1.090225050027611,2.0019308697556033
nonferrous_equal_weight,nonferrous,equal_weight,fixed,close,open,open_to_open,0.04828062805844158,0.08547958851514682,0.5648205483568319,0.11724290883229282,0.41179998465837614,0.5020715630885122,1.1136470487573904,1.761542975993168
nonferrous_inverse_vol_120d,nonferrous,inverse_vol_120d,fixed,close,open,open_to_open,0.06421279419781811,0.08766630703895949,0.7324683377991675,0.1037557209402209,0.6188843720223819,0.5094197437829691,1.116911810221303,2.1113304992165256
energy_chem_equal_weight,energy_chem,equal_weight,fixed,close,open,open_to_open,-0.004446196658479007,0.10400485839552448,-0.04274989387101877,0.31152876824855735,-0.014272186429124742,0.5062193742932529,0.9771809550212707,0.9478977031647883
energy_chem_inverse_vol_120d,energy_chem,inverse_vol_120d,fixed,close,open,open_to_open,0.0010004336960383053,0.10594145534086703,0.00944326933039957,0.3272651818979634,0.0030569512168582185,0.5043347154165096,0.9948766889574796,1.0120795142076104
ferrous_equal_weight,ferrous,equal_weight,fixed,close,open,open_to_open,0.0818178904204172,0.12047773418979787,0.679112127818765,0.24609602401160624,0.3324632762720236,0.5087150385083097,1.114345715963335,2.5711118843847713
ferrous_inverse_vol_120d,ferrous,inverse_vol_120d,fixed,close,open,open_to_open,0.07430343295758868,0.11882883892062937,0.625297980124328,0.24583034307940166,0.30225492926066144,0.5022312373225152,1.1367965538716995,2.3646703274582372
