date,RB,I,J,JM
2015-09-30,0.254459827950197,0.24122115297464,0.28752660752077935,0.21679241155438356
2015-10-08,0.25476148527863013,0.24114434908552368,0.2874191870632311,0.21667497857261503
2015-10-09,0.25379302243678653,0.24574743473879077,0.28509207832016636,0.2153674645042563
2015-10-12,0.2537248047344061,0.24823956742945785,0.28292320088868034,0.21511242694745578
2015-10-13,0.2533888212613608,0.26367443618462055,0.27365104820639236,0.2092856943476262
2015-10-14,0.25614401608272963,0.26659550452494135,0.26949721863940523,0.20776326075292384
2015-10-15,0.2566847609096939,0.26618989052102254,0.26908106187097264,0.208044286698311
2015-10-16,0.2575017494244505,0.2659228038775262,0.26853005010055636,0.20804539659746696
2015-10-19,0.25746498181352684,0.2659156735688081,0.2685357688803088,0.20808357573735625
2015-10-20,0.25742845879661996,0.2649440764011547,0.2673546255544929,0.2102728392477325
2015-10-21,0.2568579516309235,0.2651944295401796,0.26745687120234424,0.21049074762655276
2015-10-22,0.26022157800261614,0.26414200043466385,0.2659675626855314,0.20966885887718867
2015-10-23,0.2602044416304817,0.2641600095612169,0.265996302441545,0.2096392463667564
2015-10-26,0.2598864334419931,0.2638371670855646,0.2654749729476555,0.21080142652478678
2015-10-27,0.25975820243649705,0.2637069867418871,0.2653229902866221,0.21121182053499374
2015-10-28,0.2599819814931694,0.2639341676361861,0.26545167819168536,0.21063217267895917
2015-10-29,0.2597097751269007,0.2636578232514953,0.2637569322765589,0.21287546934504514
2015-10-30,0.2599835256434751,0.26393573526030867,0.26416124667968255,0.2119194924165338
2015-11-02,0.2599085106349896,0.26385957989095915,0.2640796727991648,0.21215223667488656
2015-11-03,0.2572983439661791,0.2612097340702313,0.26964074606647803,0.21185117589711164
2015-11-04,0.2574012968204832,0.2613142519900904,0.2687995399207829,0.21248491126864358
2015-11-05,0.25714340309052197,0.26105243781910453,0.2695324876205418,0.21227167146983159
2015-11-06,0.25646162199183564,0.2603602924413427,0.2706499324919058,0.21252815307491593
2015-11-09,0.2564287597941239,0.26032693068007773,0.27039578731875447,0.21284852220704412
2015-11-10,0.255990684598638,0.25988219596646966,0.2708065145116433,0.2133206049232491
2015-11-11,0.25606255810204626,0.2599551620743061,0.2709288842812908,0.2130533955423569
2015-11-12,0.2561448505302415,0.260038705493022,0.2707652159261395,0.21305122805059704
2015-11-13,0.2562279706075213,0.260123089142553,0.27063009757111683,0.2130188426788089
2015-11-16,0.2562126227355955,0.26010750795581666,0.27059386823560544,0.21308600107298245
2015-11-17,0.2561514130293188,0.2600453677536973,0.27061155442146995,0.213191664795514
2015-11-18,0.2560750637363386,0.2599678578163677,0.27071050046378947,0.21324657798350422
2015-11-19,0.2554273559478516,0.2593103037234112,0.2714411995633764,0.2138211407653606
2015-11-20,0.2554202066394081,0.25930304573282903,0.2714066858603985,0.21387006176736434
2015-11-23,0.25542338552147614,0.25930627293952935,0.2713833563430749,0.21388698519591956
2015-11-24,0.2553462084969367,0.25922792268765626,0.2713013569603272,0.21412451185507986
2015-11-25,0.25524794388385647,0.2591281642785832,0.27149680935231835,0.21412708248524187
2015-11-26,0.25523524599248265,0.2591152733567923,0.27153672382074834,0.21411275682997669
2015-11-27,0.2552012166306549,0.2590807266884516,0.27163384653711525,0.21408421014377835
2015-11-30,0.25487099144350944,0.25874548149414556,0.2725773408692007,0.21380618619314437
2015-12-01,0.25485675259516233,0.2587310261901087,0.2726179797071828,0.2137942415075462
2015-12-02,0.2546745119297451,0.2585460151441119,0.27262927178069085,0.2141502011454523
2015-12-03,0.2545699891112612,0.25843990339383954,0.2725726451023519,0.21441746239254733
2015-12-04,0.2543525237322514,0.2582191321562753,0.27241397164783016,0.2150143724636432
2015-12-07,0.254347595442492,0.2582141289477912,0.27240279179940924,0.2150354838103076
2015-12-08,0.2543415287200012,0.2582079700003838,0.27242014651565716,0.21503035476395793
2015-12-09,0.25351894242717815,0.257372878940387,0.27226456091906276,0.216843617713372
2015-12-10,0.253443225143708,0.2572960106202304,0.27222435668988004,0.21703640754618153
2015-12-11,0.252929088504747,0.2567700091735824,0.2735413931761884,0.21675950914548223
2015-12-14,0.25339497112502885,0.25659543896525755,0.27338598266842473,0.21662360724128896
2015-12-15,0.25447468293639597,0.25630759073072223,0.273079298836572,0.2161384274963098
2015-12-16,0.2534229297622997,0.2551153115937551,0.2748063857621231,0.21665537288182213
2015-12-17,0.2541340098802131,0.25485665913530975,0.2745504200074421,0.21645891097703512
2015-12-18,0.2539931798080878,0.2547513534671215,0.27468271738130007,0.21657274934349055
2015-12-21,0.25399234487633054,0.2547649123266269,0.2746749369548266,0.21656780584221613
2015-12-22,0.2551073389088505,0.25581359001720183,0.2759978098260697,0.21308126124787796
2015-12-23,0.25483716371940585,0.2581946272269106,0.275663989576786,0.21130421947689743
2015-12-24,0.25467700944241267,0.258201479129222,0.27590872563894797,0.21121278578941738
2015-12-25,0.25497600212204485,0.2596042189915321,0.2754633946417594,0.20995638424466365
2015-12-28,0.2558554590268918,0.2633663183592181,0.2727470630238318,0.20803115959005852
2015-12-29,0.2556830591892996,0.26335456912934707,0.27294687219447195,0.20801549948688147
2015-12-30,0.2555386746532675,0.26349772267292976,0.27300295115597967,0.2079606515178229
2015-12-31,0.25517821797848556,0.2664561253504824,0.2730129291209276,0.20535272755010442
2016-01-04,0.26822523154591105,0.2697340679549179,0.2647752434907184,0.19726545700845263
2016-01-05,0.2542367990696172,0.31333793247897546,0.24755807907650862,0.1848671893748987
2016-01-06,0.3394304775554118,0.0,0.4110968991900602,0.249472623254528
2016-01-07,0.0013317113618303957,0.9962664228670074,0.0015505507534971177,0.0008513150176650828
2016-01-08,0.15745859749775284,0.5460855448501505,0.19452056733336603,0.10193529031873078
2016-01-11,0.15962201902327944,0.539818957603277,0.19719320629506293,0.10336581707838072
2016-01-12,0.19457550398179652,0.4366874225952042,0.2403739016172479,0.12836317180575146
2016-01-13,0.20448655956230435,0.40719801745393097,0.2526177815007863,0.13569764148297847
2016-01-14,0.21222427097553784,0.3893457919673576,0.26217676422947167,0.1362531728276329
2016-01-15,0.21273675343252832,0.38849938102194914,0.2628098727409558,0.13595399280456674
2016-01-18,0.21607740829528463,0.37817353210206944,0.2669368374764165,0.13881222212622948
2016-01-19,0.21653936879467386,0.37598540715915724,0.2675075323756143,0.13996769167055456
2016-01-20,0.24272860932865964,0.30442056608734885,0.2998610907564045,0.15298973382758696
2016-01-21,0.24336399327817201,0.302531856176556,0.3006460288182047,0.1534581217270673
2016-01-22,0.2492122122456326,0.2864008585741095,0.3078707779873088,0.1565161511929491
2016-01-25,0.2493515032218685,0.2865043882131848,0.3080428547119361,0.15610125385301069
2016-01-26,0.25125363252346306,0.28543104980357253,0.3103926995395129,0.15292261813345148
2016-01-27,0.251915021781958,0.28236289036353873,0.31120976393507555,0.15451232391942774
2016-01-28,0.25520669911317795,0.2727454669107845,0.3152693503217496,0.15677848365428806
